id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
97995639,"R-18G,漫画,グロ,リョナ,巨乳,3D,乳房切断,首吊り,全裸,拘束","R-18G,漫画,怪诞,Ryona,巨乳,3D,截断乳房,上吊,全裸,束缚",NaughtyNeighbor,46488205,【R18G】你们要的中文版咯《树妖果实》,"劳动节快乐呀
应大家要求做了Dryad Fruit的简体中文版《树妖果实》
以及在结尾附上了封面图的无字版本4K大图，欢迎狠人下载当桌面壁纸

【注意！请勿在大陆境内任何网路传播！请遵守各地法律！内地网路舆论情绪复杂，不要给用爱发电的创作者带来灾难】

需要英文版本的请转至该链接 (Check this link for English Version)：https://www.pixiv.net/artworks/97939055

本作品灵感来源是ZDK老师的Nipple Tree，感兴趣的朋友转至： https://www.pixiv.net/artworks/80998559",Manga,33,4044,No,2316,76956,44,3840,2160,R-18G,Unknown,2022-04-30T12:34:00+00:00,https://i.pximg.net/img-original/img/2022/04/30/21/35/28/97995639_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/04/30/21/35/28/97995639_p0_square1200.jpg,NaughtyNeighbor46488205/97995639【R18G】你们要的中文版咯《树妖果实》/【R18G】你们要的中文版咯《树妖果实》#97995639_p000.jpg
97939055,"R-18G,漫画,グロ,リョナ,エロ処刑,真っ二つ,死体,秀色,斬首,首吊り","R-18G,漫画,怪诞,Ryona,H处刑,切断,尸体,秀色,斩首,上吊",NaughtyNeighbor,46488205,"【R18G】Dryad Fruit - ENG Ver.","This is probably the most time-consuming work I've ever made. 
The idea of this story was inspired by a previous work of Mr. 贼低亏 on pixiv, the ""Nipple Tree"" （ check it with this link: https://www.pixiv.net/artworks/80998559 )

And I'll make a Simplified Chinese Edition of it this week,
Thank you for your interest and patience always.",Manga,33,2149,No,1175,46263,43,3840,2160,R-18G,Unknown,2022-04-28T09:19:00+00:00,https://i.pximg.net/img-original/img/2022/04/30/22/11/43/97939055_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/04/30/22/11/43/97939055_p0_square1200.jpg,"NaughtyNeighbor46488205/97939055【R18G】Dryad Fruit - ENG Ver．/【R18G】Dryad Fruit - ENG Ver.#97939055_p000.jpg"
